Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
1053,172.9003739
1054,173.0489128
1055,173.0853261
1056,172.9701636
1057,172.7375285
1058,172.4408344
1059,172.1332239
1060,171.8686484
1061,171.6869121
1062,171.574722
1063,171.5064458
1064,171.4583825
1065,171.4108116
1066,171.3478441
1067,171.2680499
1068,171.1712634
1069,171.056579
1070,170.924278
1071,170.7762979
1072,170.62143
1073,170.4704998
1074,170.3347326
1075,170.2254133
1076,170.1492079
1077,170.0988468
1078,170.063878
1079,170.0337808
1080,169.9978224
1081,169.9466227
1082,169.8805029
1083,169.8029422
1084,169.7192114
1085,169.6315752
1086,169.5408284
1087,169.4442648
1088,169.34093
1089,169.2302523
1090,169.1115922
1091,168.9837775
1092,168.8491539
1093,168.7145578
1094,168.5867314
1095,168.4713042
1096,168.3698012
1097,168.2794042
1098,168.1957996
1099,168.1161784
1100,168.0366962
1101,167.9529296
1102,167.8637475
1103,167.7705198
1104,167.6753584
1105,167.5801912
1106,167.4862914
1107,167.3917195
1108,167.2987676
1109,167.2114866
1110,167.1327973
1111,167.0574135
1112,166.9872929
1113,166.926411
1114,166.8784432
1115,166.8415002
1116,166.807404
1117,166.770559
1118,166.7317792
1119,166.699698
1120,166.6647135
1121,166.6159456
1122,166.5496205
1123,166.4745696
1124,166.3891292
1125,166.2912294
1126,166.1778723
1127,166.0515665
1128,165.9186194
1129,165.7852175
1130,165.6499921
1131,165.5094697
1132,165.3643561
1133,165.2156767
1134,165.0648134
1135,164.9103881
1136,164.7498702
1137,164.5791919
1138,164.3920124
1139,164.1974005
1140,164.0072699
1141,163.8318146
1142,163.6673125
1143,163.5125197
1144,163.3674874
1145,163.2357431
1146,163.1215004
1147,163.0115562
1148,162.8908059
1149,162.7479952
1150,162.583735
1151,162.3996814
1152,162.205302
1153,162.0071115
1154,161.8112055
1155,161.6287813
1156,161.4686424
1157,161.3260338
1158,161.1923039
1159,161.0602855
1160,160.9230502
1161,160.7771121
1162,160.6235557
1163,160.4637459
1164,160.2993449
1165,160.1351606
1166,159.9763503
1167,159.8220872
1168,159.6692048
1169,159.5120024
1170,159.3488181
1171,159.1798
1172,159.0118279
1173,158.8501634
1174,158.6947709
1175,158.5451479
1176,158.4025209
1177,158.2653066
1178,158.1273106
1179,157.9822719
1180,157.8212198
1181,157.6408359
1182,157.4519438
1183,157.2676948
1184,157.0953923
1185,156.9411442
1186,156.8099271
1187,156.6963023
1188,156.594475
1189,156.4924712
1190,156.3768191
1191,156.237824
1192,156.0825126
1193,155.9211362
1194,155.7632284
1195,155.6184256
1196,155.4922706
1197,155.3796742
1198,155.273084
1199,155.1666987
1200,155.0552587
1201,154.9326866
1202,154.7988368
1203,154.653789
1204,154.5025921
1205,154.3540103
1206,154.2160747
1207,154.0881873
1208,153.9665812
1209,153.8484813
1210,153.731551
1211,153.6169244
1212,153.5036192
1213,153.3901304
1214,153.275437
1215,153.1622201
1216,153.0511824
1217,152.9396398
1218,152.8235026
1219,152.6992429
1220,152.5674022
1221,152.4297147
1222,152.2894814
1223,152.147793
1224,152.0078399
1225,151.8728138
1226,151.7465486
1227,151.6265482
1228,151.5073134
1229,151.3836762
1230,151.2537382
1231,151.116905
1232,150.9725798
1233,150.8199784
1234,150.6565905
1235,150.4823156
1236,150.2986207
1237,150.1098049
1238,149.9193054
1239,149.7350123
1240,149.5649188
1241,149.415454
1242,149.2822587
1243,149.155588
1244,149.0254757
1245,148.885261
1246,148.733794
1247,148.5751903
1248,148.4148987
1249,148.2548675
1250,148.0999342
1251,147.9558136
1252,147.8229838
1253,147.698911
1254,147.5755458
1255,147.4443544
1256,147.2988674
1257,147.1432801
1258,146.9831229
1259,146.823666
1260,146.6691793
1261,146.5213459
1262,146.3783531
1263,146.2373222
1264,146.0970033
1265,145.953355
1266,145.8007174
1267,145.6381181
1268,145.4680966
1269,145.2975743
1270,145.134144
1271,144.9836143
1272,144.8427318
1273,144.705589
1274,144.5665219
1275,144.4202007
1276,144.2646766
1277,144.1022224
1278,143.9361458
1279,143.7685185
1280,143.6023307
1281,143.4441975
1282,143.2956348
1283,143.1540228
1284,143.0124602
1285,142.8648884
1286,142.7068704
1287,142.5431667
1288,142.3780734
1289,142.2147066
1290,142.0565934
1291,141.9083563
1292,141.7682282
1293,141.6329741
1294,141.4995127
1295,141.3651887
1296,141.2268016
1297,141.0825594
1298,140.9308485
1299,140.7711536
1300,140.6040638
1301,140.4307941
1302,140.253383
1303,140.0753102
1304,139.9012931
1305,139.7363624
1306,139.5840334
1307,139.4406235
1308,139.3006084
1309,139.1594648
1310,139.0159848
1311,138.867834
1312,138.713174
1313,138.5499785
1314,138.3767913
1315,138.1940077
1316,138.0034672
1317,137.8096123
1318,137.6185449
1319,137.4385944
1320,137.2783155
1321,137.1419049
1322,137.0228934
1323,136.9123335
1324,136.8017327
1325,136.6845522
1326,136.5546477
1327,136.4123911
1328,136.2599028
1329,136.10037
1330,135.9371677
1331,135.7736475
1332,135.6132338
1333,135.4578663
1334,135.3087135
1335,135.1666947
1336,135.0293066
1337,134.8989979
1338,134.7805435
1339,134.6767335
1340,134.574684
1341,134.4816943
1342,134.4127846
1343,134.3739745
1344,134.3536902
1345,134.3682771
1346,134.4356235
1347,134.5663056
1348,134.7514937
1349,134.9812941
1350,135.2463078
1351,135.5515761
1352,135.8901681
1353,136.2464611
1354,136.6095724
1355,136.9966212
1356,137.3783327
1357,137.7196442
1358,138.0116387
1359,138.2888308
1360,138.5144638
1361,138.6471339
1362,138.6775123
1363,138.6317065
1364,138.504072
1365,138.288163
1366,137.972372
1367,137.5836615
1368,137.162099
1369,136.7365545
1370,136.2604097
1371,135.7899756
1372,135.3937681
1373,135.0974583
1374,134.8325196
1375,134.6170857
1376,134.4784869
1377,134.467624
1378,134.5426297
1379,134.6005502
1380,134.5431173
1381,134.4263359
1382,134.2530964
1383,133.9579018
1384,133.473982
1385,132.8026913
1386,132.0623042
1387,131.3673658
1388,130.7535837
1389,130.1478098
1390,129.6036134
1391,129.1794344
1392,128.9174212
1393,128.7743564
1394,128.682806
1395,128.581097
1396,128.5022965
1397,128.4363338
1398,128.3432815
1399,128.1909635
1400,127.9908192
1401,127.7534387
1402,127.4909578
1403,127.2118916
1404,126.9127396
1405,126.5931157
1406,126.2531357
1407,125.8916931
1408,125.5175413
1409,125.1444596
1410,124.7840899
1411,124.4293241
